study_hours_per_day,attendance_rate,previous_grades,sleep_hours,extracurricular_hours,parental_education,internet_access,tutoring,family_income,motivation_level,gender,school_type,distance_to_school_km,teacher_quality,stress_level,performance
4.745071229516849,86.67541614249957,36.382886631839135,5.561832315719838,0.6631023701202949,PhD,Yes,No,Medium,Low,Female,Public,2.9288236103463587,Low,3.3921232465456725,Average
3.792603548243223,66.732214255072,52.09422483830747,4.971236965838917,1.242882999514652,High School,Yes,No,High,High,Male,Public,0.94530999926353,High,6.595703650956601,Average
4.971532807151039,62.72701674866539,58.79591699867534,4.62461741531863,0.8695277797109062,Bachelor,Yes,No,Low,High,Female,Public,6.54663532205313,Medium,2.303931496909941,Average
6.284544784612038,74.94938313883571,93.31531486010286,7.619498368206696,1.3424050175106346,Bachelor,Yes,Yes,Low,Medium,Female,Public,1.0198428326552325,Low,5.1984592467621455,High Performer
3.648769937914996,72.44723066212607,73.34829686800637,6.678898453408208,1.7430196271465734,Bachelor,Yes,Yes,Medium,Medium,Female,Private,2.128132660750624,High,5.265016193684362,Average
3.648794564576229,68.20157926009087,44.96777646350163,7.569108096407665,3.0045853835976613,Master,Yes,No,Medium,High,Male,Public,5.442527229394377,Low,1.3784008433606383,At Risk
6.368819223261087,85.44581171185072,72.29054434126455,8.03570902918227,1.614609153553157,High School,Yes,Yes,High,Medium,Female,Public,3.2897626568799483,High,4.117952358952783,High Performer
5.151152093729364,89.32957812855766,41.79044016592452,7.3984254897588,0.09724915187648886,Bachelor,No,No,High,High,Female,Private,6.707963453212903,Medium,5.511399076096286,High Performer
3.295788421097572,76.32610329437772,81.2403658083061,7.98664476422556,3.368081415794192,High School,Yes,No,Medium,High,Male,Public,16.247693464273635,High,5.857455986588136,High Performer
4.8138400653789475,97.16295121582893,57.93313022273182,6.895701570636596,0.9954918396619525,Bachelor,No,No,Medium,Medium,Male,Public,0.6195841633265583,Medium,4.591385582799668,High Performer
3.3048734607813066,57.87466328799742,63.59545716891244,5.219509917541383,1.9295354874744455,High School,Yes,Yes,Medium,Medium,Female,Public,6.181924163910971,Medium,6.353776408961431,At Risk
3.301405369644615,72.09510811080423,84.88694971313285,8.586721271231195,2.535843808328854,High School,Yes,No,High,Low,Female,Public,1.309059097075562,Medium,4.781367485527919,At Risk
4.362943407349051,64.24766519095793,45.692546471236255,6.116331800828309,2.2395325020833394,Bachelor,Yes,Yes,High,Medium,Female,Public,2.6762467424893677,Low,5.027305824150114,High Performer
1.1300796330133034,47.0019507439041,44.04322722330513,5.596605551856361,3.3130154570257706,Bachelor,Yes,No,High,High,Female,Public,0.5,High,5.503307737973107,At Risk
1.4126232512304506,73.7597897123595,56.246010104809926,6.733123186293403,2.5748037720713106,High School,No,Yes,Low,High,Female,Private,0.7303765975135991,Low,6.853999257468337,At Risk
3.156568706138541,73.17378737425075,80.57568276528974,5.6307836210552304,0.9664285043634704,Bachelor,Yes,No,High,Medium,Male,Private,1.9266750916455855,Medium,3.648563995168936,Average
2.480753319498364,97.70174614863197,42.209808867847364,6.373854427015852,4.614274608789994,Bachelor,No,No,Low,Medium,Male,Private,2.0926438768942095,Medium,4.026356254963405,Average
4.471370998892911,84.46217526832166,22.517666028341466,7.5160808823452,2.23320015600588,High School,No,No,Low,Low,Female,Public,11.49222918085363,Medium,3.6622070165415703,At Risk
2.6379638867181834,59.63719763506192,58.23261712386502,7.5225126088691905,1.8231917280541925,Bachelor,Yes,No,High,Low,Male,Private,6.77035399489366,Low,4.335604567716134,At Risk
